Country,Player,Birth,Position,Items,Goal,Club
Russia,Vladimir Gabulov,1983-10-19,GK,10,0,布鲁日
Russia,Igor Akinfeev,1986-04-08,GK,104,0,莫斯科中央陆军
Russia,Andrey Lunyov,1991-11-13,GK,3,0,泽尼特
Russia,llya Kutepov,1993-07-29,DF,6,0,莫斯科斯巴达克
Russia,Mario Femandes,1990-09-19,DF,3,0,莫斯科中央陆军
Russia,Andrey,1989-03-24,DF,6,0,格罗兹尼捷列克
Russia,Sergey Ignashevich,1979-07-14,DF,120,8,格罗兹尼捷列克
Russia,Fyodor Kudryashov,1987-04-05,DF,17,0,莫斯科中央陆军
Russia,Vladimir Granat,1987-05-22,DF,11,1,喀山红钻
Russia,Igor Smolnikov,1988-08-08,DF,25,0,泽尼特
Russia,Yuri Zhirkov,1983-08-20,MF,82,2,泽尼特
Russia,Anton Miranchuk,1995-10-17,MF,4,0,莫斯科火车头
Russia,Alexander Golovin,1996-05-30,MF,17,2,莫斯科中央陆军
Russia,Alexander Samedov,1984-07-19,MF,46,6,莫斯科斯巴达克
Russia,Alexander Erokhin,1989-10-13,MF,17,0,泽尼特
Russia,Denis Cheryshev,1990-12-26,MF,10,0,比利亚雷亚尔
Russia,Roman Zobnin,1994-02-11,MF,10,0,莫斯科斯巴达克
Russia,Daler Kuzyaev,1993-01-15,MF,4,0,泽尼特
Russia,Yury Gazinsky,1989-07-20,MF,5,0,克拉斯诺达尔
Russia,Fedor Smolov,1990-02-09,FW,30,12,克拉斯诺达尔
Russia,Alan Dzagoev,1990-06-17,MF,55,9,莫斯科中央陆军
Russia,Aleksey Miranchuk,1995-10-17,FW,16,4,莫斯科火车头
Russia,Artem Dzyuba,1988-08-22,FW,22,11,莫斯科火车头
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Sherif Ekramy,1983-07-01,GK,20,0,开罗国民
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文
Egypt,Essam EI-Hadary,1973-01-15,GK,156,0,塔文



